Price,Location,Spare,Length,Width,Direction,Amenities
2.2 tỷ,"Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, TP. Đà Nẵng",100 m²,20 m,5 m,Đông,1
1.7 tỷ,"Đường Cao Bá Quát, Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng",114 m²,5 m,22 m,Đ.Bắc,1
910 triệu,"Xã Phước Tín, Thị xã Phước Long, Bình Phước","1,350 m²",--,--,--,0
14 tỷ,"Đường Hồ Chí Minh, Thị trấn Chi Nê, Huyện Lạc Thủy, Hòa Bình","1,470 m²",73 m,20 m,--,0
3.27 tỷ,"Đường Tỉnh Lộ 302, Thị trấn Đại Đình, Huyện Tam Đảo, Vĩnh Phúc",726 m²,--,--,--,0
510 triệu,"Xã Tân Lợi, Huyện Hớn Quản, Bình Phước",400 m²,--,--,--,0
9 tỷ,"Đường Cao Bá Quát, Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng","2,940 m²",57 m,57 m,Đông,1
510 triệu,"Phường Minh Long, Thị xã Chơn Thành, Bình Phước","3,600 m²",--,--,--,0
550 triệu,"Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",40 m²,--,--,--,0
580 triệu,"Phường Minh Hưng, Thị xã Chơn Thành, Bình Phước","1,600 m²",--,--,--,0
2.5 tỷ,"Đường Thống Nhất, Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng","1,219 m²",60 m,40 m,Đ.Bắc,1
790 triệu,"Xã Tân Thành, TP. Đồng Xoài, Bình Phước",700 m²,--,--,--,0
6.5 tỷ,"Đường Mỹ Đình Mỹ Đình 1, Nam Từ Liêm, Hà Nội",52 m²,13 m,4 m,--,0
9 tỷ,"Đường Quốc Lộ 20, Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng","2,681 m²",100 m,26 m,T.Bắc,1
4.1 tỷ,"Đường F Phước Long, Nha Trang, Khánh Hòa",72 m²,16 m,4.5 m,--,0
3 tỷ,"Phường An Phú, TP. Tam Kỳ, Quảng Nam",150 m²,15 m,10 m,T.Nam,0
800 triệu,"Đường 1, xã Đức Hòa Đông, huyện Đức Hòa, Long An",100 m²,20 m,5 m,--,0
4.1 tỷ,"Đường F Phước Long, Nha Trang, Khánh Hòa",72 m²,16 m,4.5 m,--,0
550 triệu,"Đường 18/9, Xã An Thái, Huyện Phú Giáo, Bình Dương","5,120 m²",--,--,--,0
2.8 tỷ,"Hưng Long, Xã Quy Đức, Huyện Bình Chánh, TP. Hồ Chí Minh",123.40 m²,--,--,Đ.Bắc,1
1.3 tỷ,"Phường Lộc Sơn, TP. Bảo Lộc, Lâm Đồng",150 m²,25 m,5.99 m,--,1
400 triệu,"Quốc lộ 14, Xã Minh Lập, Thị xã Chơn Thành, Bình Phước","8,000 m²",--,--,--,0
550 triệu,"Xã Tân Lợi, Huyện Đồng Phú, Bình Phước","1,000 m²",--,--,--,0
190 triệu,"Đường Quốc lộ 1A, Xã Vĩnh Phương, TP. Nha Trang, Khánh Hòa",150 m²,25 m,6 m,--,0
1.7 tỷ,"Đường Quốc lộ 18, xã An Sinh, thị xã Đông Triều, Quảng Ninh","2,190 m²",136 m,16 m,--,0
230 triệu,"Xã Bình Minh, Huyện Bù Đăng, Bình Phước",225 m²,--,--,--,0
550 triệu,"Liên Ấp 2-6, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",56 m²,14 m,4 m,--,1
260 triệu,"Xã Bình Minh, Huyện Bù Đăng, Bình Phước",225 m²,--,--,--,0
350 triệu,"Xã Vĩnh Lộc B, Huyện Bình Chánh, TP. Hồ Chí Minh",40 m²,--,--,--,0
1.16 tỷ,"Thị trấn Tân Túc, Huyện Bình Chánh, TP. Hồ Chí Minh",100 m²,5 m,19.99 m,--,0
1.2 tỷ,"Xã Phú Hội, Huyện Đức Trọng, Lâm Đồng",143 m²,29 m,5 m,Tây,1
390 triệu,"Xã Đồng Tâm, Huyện Đồng Phú, Bình Phước",470 m²,--,--,--,0
445 triệu,"Xã Quảng Lợi, Huyện Quảng Điền, Thừa Thiên Huế",100 m²,14 m,6.99 m,Đ.Nam,1
390 triệu,"Xã Thuận Lợi, Huyện Đồng Phú, Bình Phước","1,000 m²",--,--,--,0
257 triệu,"Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi",146 m²,22 m,4.98 m,Bắc,1
3.5 tỷ,"Xã Hiệp Thạnh, Huyện Đức Trọng, Lâm Đồng","1,003 m²",18 m,42 m,Đông,1
1.78 tỷ,"Xã Đức Lập Thượng, Huyện Đức Hòa, Long An",140 m²,20 m,7 m,T.Bắc,1
3.2 tỷ,"Đường Kiêu Kỵ, Xã Kiêu Kỵ, Huyện Gia Lâm, TP. Hà Nội",80 m²,--,--,--,1
1.4 tỷ,"Đại lộ Võ Nguyên Giáp, Phường IV, TP. Vị Thanh, Hậu Giang",98 m²,--,--,--,0
639 triệu,"Phường Hưng Long, Thị xã Chơn Thành, Bình Phước","3,200 m²",--,--,--,0
450 triệu,"Xã An Thái, Huyện Phú Giáo, Bình Dương","1,000 m²",--,--,--,0
739 triệu,"Xã Tân Phước, Huyện Đồng Phú, Bình Phước","4,800 m²",--,--,--,0
600 triệu,"Đường Huỳnh Châu Sổ, Phường 4, TP. Tân An, Long An",100 m²,5 m,20 m,--,1
700 triệu,"Phường Minh Hưng, Thị xã Chơn Thành, Bình Phước","1,050 m²",--,--,--,0
2.03 tỷ,"Phố Thanh Xuân, phường Bích Đào ,Tp. Ninh Bình, tỉnh Ninh Bình. ",75 m²,--,--,--,0
489 triệu,"Xã Tân Lợi, Huyện Hớn Quản, Bình Phước","1,047 m²",--,--,--,0
1.6 tỷ,"Phường Mũi Né, TP. Phan Thiết, Bình Thuận",266 m²,--,--,--,0
250 triệu,"Xã Đồng Tâm, Huyện Đồng Phú, Bình Phước","1,000 m²",100 m,10 m,--,0
14.25 tỷ,"Đường Đại lộ Thăng Long, xã Vân Côn, Huyện Hoài Đức, TP. HN",425 m²,25 m,17 m,--,0
990 triệu,"Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",100 m²,20 m,4.98 m,--,0
1.15 tỷ,"767, Xã Vĩnh Tân, Huyện Vĩnh Cửu, Đồng Nai",781 m²,20 m,32 m,Đ.Bắc,0
1.3 tỷ,"Xã Suối Cát, Huyện Xuân Lộc, Đồng Nai","1,000 m²",33 m,30 m,Tây,0
930 triệu,"Đường NK13, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",200 m²,20 m,10 m,--,1
530 triệu,"Xã Diên Đồng, Huyện Diên Khánh, Khánh Hòa",88 m²,17.6 m,5 m,--,0
899 triệu,"Đường Hùng Vương, Xã Phú Lộc, huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,--,0
1.9 tỷ,"Đường Trần Phú, Phường 4, TP. Vĩnh Long, Tỉnh Vĩnh Long",122 m²,--,--,--,0
550 triệu,"Đường Một Quang, xã Phước Thạnh, Tp Mỹ Tho, Tiền Giang.",100 m²,25 m,5 m,--,0
3 tỷ,"Đường Sông Nhạn, Xã Sông Nhạn, Huyện Cẩm Mỹ, Đồng Nai","1,000 m²",--,--,--,0
2.25 tỷ,"Đường Bàu Cạn, xã Bàu Cạn, huyện Long Thành, Đồng Nai","1,157 m²",80 m,15 m,--,0
550 triệu,"Đường Trần Thị Thơm, xã Tân Mỹ Chánh, TP. Mỹ Tho, Tiền Giang",100 m²,20 m,5 m,--,0
550 triệu,"Đường Nam Kỳ Khởi Nghĩa, xã Thới Sơn, TP. Mỹ Tho, Tiền Giang",144 m²,16 m,9 m,--,0
2.5 tỷ,"Nguyễn Ái Quốc, Phường Trảng Dài, TP. Biên Hòa, Đồng Nai",70 m²,--,4.6 m,Tây,0
2.4 tỷ,"Đường Hương Lộ 7, Xã Bình Lợi, Huyện Vĩnh Cửu, Đồng Nai",142 m²,--,5 m,--,0
5 tỷ,"Đường 1 Lộc Thọ, Nha Trang, Khánh Hòa",140 m²,28 m,5 m,--,0
2.5 tỷ,"Đường Võ Nguyên Giáp Vĩnh Hiệp, Nha Trang, Khánh Hòa",100 m²,20 m,5 m,--,0
12 tỷ,"Đường 1 Ninh Hưng, Ninh Hòa, Khánh Hòa","24,000 m²",240 m,100 m,--,0
2.65 tỷ,"Đường Bắc Cầu, Phường Ngọc Thụy, Quận Long Biên, TP. Hà Nội",60 m²,--,4.1 m,--,1
3.99 tỷ,"Tam Đa, Phường Long Trường, TP. Thủ Đức, TP. Hồ Chí Minh",74 m²,18.5 m,4 m,Đ.Bắc,0
5.85 tỷ,"Đường 11, Xã Phước Ninh, Huyện Dương Minh Châu, Tây Ninh","1,650 m²",55 m,30 m,--,0
2.4 tỷ,"Đường 19, Xã Nguyên Khê, Huyện Đông Anh, TP Hà Nội",60 m²,12 m,5 m,--,0
12 tỷ,"Đường Đại lộ Thăng Long, Xã Vân Côn, Huyện Hoài Đức, TP Hà Nội",250 m²,25 m,10 m,--,0
630 triệu,"Đường 416 Kim Sơn, Sơn Tây, Hà Nội",90 m²,--,--,--,0
1.5 tỷ,"Đường Ea Pốk, Thị Trấn Ea Pốk, huyện Cư M'gar,Tỉnh Đăk Lăk.","7,000 m²",--,--,--,0
800 triệu,"Tỉnh lộ 8C, Xã Khánh Hiệp, Huyện Khánh Vĩnh, Khánh Hòa","2,100 m²",100 m,21 m,Bắc,1
600 triệu,"Xã Vĩnh Lộc B, Huyện Bình Chánh, TP. Hồ Chí Minh",75 m²,--,--,--,0
480 triệu,"Tỉnh lộ 8B, Xã Khánh Trung, Huyện Khánh Vĩnh, Khánh Hòa","1,261 m²",126 m,10 m,Đông,1
3.8 tỷ,"Đường Quốc lộ 32, Xã Đức Giang, Huyện Hoài Đức, TP Hà Nội",70 m²,14 m,5 m,--,0
520 triệu,"Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",40 m²,--,--,--,0
500 triệu,"DT756B, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước","1,500 m²",60 m,25 m,--,0
1.98 tỷ,"Đường Đản Dị, Xã Xuân Nộn, Huyện Đông Anh, TP. Hà Nội",59 m²,4.3 m,14 m,Bắc,1
4.3 tỷ,"Đường Đam Bri Đam Bri, Bảo Lộc, Lâm Đồng","4,050 m²",--,67 m,--,0
900 triệu,"Đường D6 Diên Lạc, Diên Khánh, Khánh Hòa",301 m²,32 m,15 m,--,0
1.6 tỷ,"Đường Quốc lộ 32 Than Uyên, huyện Than Uyên, Lai Châu",150 m²,30 m,5 m,--,0
3.95 tỷ,"Đường ĐT 303 Yên Lạc, huyện Yên Lạc, Vĩnh Phúc",465 m²,--,10 m,--,0
3.3 tỷ,"Đường Đường Quốc lộ 1K, Phường Đông Hòa, TP Dĩ An, Bình Dương",116 m²,13 m,10 m,--,0
1.75 tỷ,"Tú Xương, Phường Phước Long B, TP. Thủ Đức, TP. Hồ Chí Minh",90 m²,--,--,--,1
3.9 tỷ,"Đường Âu Cơ, Phường 10, Quận Tân Bình, TP. HCM",37 m²,11 m,3.6 m,--,0
1.4 tỷ,"Đường Tỉnh Lộ 10, Xã Đức Hòa, Huyện Đức Hòa, Long An",80 m²,16 m,5 m,--,0
800 triệu,"Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh",117 m²,6 m,19.99 m,--,1
4.98 tỷ,"Phường Mũi Né, TP. Phan Thiết, Bình Thuận",905 m²,--,--,--,0
2.1 tỷ,"Đường Bình Sơn - Long Thành Long Đức, huyện Long Thanh, Đồng Nai",210 m²,--,--,--,0
6.2 tỷ,"Đường Tổ 5, Thị Trấn An Dương , Huyện An Dương , TP Hải Phòng",82 m²,--,--,--,0
1.7 tỷ,"Đường 3, xã Nguyên Khê, Huyện Đông Anh, TP. HN",64 m²,15 m,4.3 m,--,0
1.2 tỷ,"Đường Bắc Hồng, xã Bắc Hồng, Huyện Đông Anh, TP. HN",52 m²,12 m,4 m,--,0
1.85 tỷ,"Đường Bắc Hồng, xã Bắc Hồng, Huyện Đông Anh, TP. HN",52 m²,12 m,4 m,--,0
9.3 tỷ,"Thị trấn Nhà Bè, Huyện Nhà Bè, TP. Hồ Chí Minh",135 m²,--,--,--,0
7.3 tỷ,"Đường Xa La, Phường Phúc La, Quận Hà Đông, TP Hà Nội",50 m²,11.9 m,4.2 m,--,0
7.9 tỷ,"Đường Tô Vĩnh Diện Phương Liệt, Thanh Xuân, Hà Nội",50 m²,13.5 m,3.7 m,--,0
20.5 tỷ,"Đường long phuoc Long Phước, Thủ Đức, TPHCM",52 m²,13 m,4 m,--,0
490 triệu,"Xã Bình Đông, Thị xã Gò Công, Tiền Giang",100 m²,20 m,5 m,Đông,1
690 triệu,"Đường Số 9 Điện Tiến, Điện Bàn, Quảng Nam",120 m²,20 m,6 m,--,0
2.6 tỷ,"Đường Phạm Hùng Bình Hưng, Bình Chánh, TPHCM",80 m²,16 m,5 m,--,0
1 tỷ,"Đường Lý Thường Kiệt, Xã Lộc Ngãi, Huyện Bảo Lâm, Lâm Đồng",200 m²,35 m,5 m,--,0
200 triệu,"Đường Quốc lộ 21B, Xã Thanh Cao, Huyện Thanh Oai, TP Hà Nội",67 m²,10 m,6.7 m,--,0
2.17 tỷ,"Xã Phù Khê, Thị xã Từ Sơn, Bắc Ninh",228.60 m²,--,--,--,0
1.5 tỷ,"Đường Phú Tân, Xã Phú Tân, Huyện Định Quán, Đồng Nai",219 m²,44 m,5.5 m,--,0
1.7 tỷ,Đường Quốc lộ 18 An Sinh,"2,190 m²",136 m,16 m,--,0
20.6 tỷ,"Long Phước, TP.Thủ Đức, TPHCM",52 m²,13 m,4 m,--,0
1.44 tỷ,"Đường Tỉnh Lộ 35, Thị trấn Sóc Sơn, Huyện Sóc Sơn, TP Hà Nội",125 m²,19 m,5.8 m,--,0
2.7 tỷ,"Đường Thụy Lâm, Xã Uy Nỗ, Huyện Đông Anh, TP. Hà Nội",60 m²,12 m,5 m,T.Bắc,1
560 triệu,"Phường Minh Long, Thị xã Chơn Thành, Bình Phước",250 m²,5 m,50 m,Đông,1
5.3 tỷ,"Đường Bình Lục - Long Phú, Xã Tân Bình, Huyện Vĩnh Cửu, Đồng Nai","1,070 m²",--,21 m,--,0
2.9 tỷ,"Thái Thị Bôi, Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",147 m²,24.49 m,6 m,T.Bắc,1
2.25 tỷ,"Đường Quốc Lộ 57 An Thạnh, Thạnh Phú, Bến Tre","2,040 m²",136 m,15 m,--,0
6 tỷ,"Đường Quốc lộ 32, Xã Đức Thượng, Huyện Hoài Đức, TP. Hà Nội",96 m²,--,--,--,0
380 triệu,"Đường Quốc lộ 1A Hồng Thái, Bắc Bình, Bình Thuận","1,900 m²",35 m,54 m,--,0
2.2 tỷ,"QL20, Xã La Ngà, Huyện Định Quán, Đồng Nai","1,669 m²",--,34 m,Đ.Nam,1
4.6 tỷ,"Đường Nguyễn Ái Quốc, Phường Tân Phong, TP. Biên Hòa, Đồng Nai",100 m²,--,5 m,--,0
1.3 tỷ,"Đường 18, xã Châu Phong, Huyện Quế Võ, Bắc Ninh",120 m²,23 m,4.5 m,--,0
985 triệu,"Đường Gia Canh, Xã Gia Canh, Huyện Định Quán, Đồng Nai","1,018 m²",78 m,13 m,Nam,1
1.99 tỷ,"Nguyễn Thị Thập, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh",100 m²,20 m,5 m,--,1
1.89 tỷ,"Đường 291 Mộ Đạo, Quế Võ, Bắc Ninh",92 m²,21.89 m,4.2 m,--,0
3.94 tỷ,"Đường Bắc Sơn, phường Điện Biên, Quận Ba Đình, TP. HN",328 m²,--,10 m,--,0
1.1 tỷ,"17 Duy Tân, Phường 1, TP. Bảo Lộc, Lâm Đồng",127 m²,25 m,5 m,Đ.Nam,1
5.8 tỷ,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, TP Hà Nội",60 m²,12 m,5 m,--,0
1.25 tỷ,"Đường Tư Thủy, Phường Hoà Nghĩa, Quận Dương Kinh, TP. Hải Phòng",62 m²,16 m,4.15 m,--,1
21 tỷ,"98 quốc lộ 55, Xã Sơn Mỹ, Huyện Hàm Tân, Bình Thuận","16,000 m²",113.99 m,147 m,--,0
3.15 tỷ,"Nguyễn Xiển, Phường Long Thạnh Mỹ, TP. Thủ Đức, TP. Hồ Chí Minh",54 m²,19 m,4.19 m,--,1
1.99 tỷ,"Lê Hữu Kiều, Phường Bình Trưng Tây, TP. Thủ Đức, TP. Hồ Chí Minh",92 m²,--,--,--,1
31 tỷ,"Đường Vĩnh Phúc Vĩnh Phúc, Ba Đình, Hà Nội",197 m²,24 m,8 m,--,0
8 tỷ,"Đường Tân Thành Tân Thành, Dương Kinh, Hải Phòng",600 m²,27 m,22 m,--,0
3.35 tỷ,"Phường Phú Hòa, TP. Thủ Dầu Một, Bình Dương",155 m²,31 m,5 m,T.Bắc,1
899 triệu,"Đường lộc tân, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,Đ.Bắc,1
899 triệu,"Đường Lộc tân, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,Đ.Bắc,1
899 triệu,"Đường Lộc tân, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,Đ.Bắc,1
3 tỷ,"Đường 1 Vĩnh Hòa, Nha Trang, Khánh Hòa",82 m²,17 m,4.5 m,--,0
12.5 tỷ,"Khe sanh, Phường 10, TP. Đà Lạt, Lâm Đồng",300 m²,--,--,Nam,1
3.2 tỷ,"Đa phú, Phường 7, TP. Đà Lạt, Lâm Đồng",528 m²,--,--,Đ.Bắc,1
3.7 tỷ,"Đường Nguyễn Ái Quốc, Phường Tân Tiến, TP. Biên Hòa, Đồng Nai",65 m²,--,4.4 m,--,0
3.94 tỷ,"Đường Quốc lộ 27C Diên Lạc, Diên Khánh, Khánh Hòa",328 m²,--,10 m,--,0
4.85 tỷ,"Đường Triều Khúc Thanh Xuân Nam, Thanh Xuân, Hà Nội",48 m²,9.3 m,5 m,--,0
5 tỷ,"Đường Nguyễn Văn Linh Phúc Đồng, Long Biên, Hà Nội",65 m²,16.3 m,4 m,--,0
46 tỷ,"Đường 171, Xã Bình Mỹ, Huyện Củ Chi, TP. Hồ Chí Minh","3,884 m²",100 m,40 m,--,1
2.58 tỷ,"Biên Giang, Phường Biên Giang, Quận Hà Đông, TP. Hà Nội",102 m²,17 m,6 m,--,0
4.2 tỷ,"Đường Khương Trung, phường Khương Trung, Quận Thanh Xuân, TP. HN",70 m²,17 m,4 m,--,0
70 tỷ,"Đường Bến Than, xã Tân Thạnh Đông, Huyện Củ Chi, TP. HCM","9,310 m²",160 m,28 m,--,0
8.6 tỷ,"Đường Trịnh Hoài Đức, Phường 11, TP Đà Lạt, Lâm Đông",203 m²,23 m,12 m,--,0
4.57 tỷ,"Đường 1A, Xã Vĩnh Lương, TP Nha Trang, Khánh Hòa","1,524 m²",55 m,34 m,--,0
5 tỷ,"Đường Lữ Gia, Phường 9, TP Đà Lạt, Lâm Đồng",70 m²,17 m,4 m,--,0
2.75 tỷ,"Đường Số 4, Phường Tam Phước, TP Biên Hòa, Đồng Nai",116 m²,23.3 m,5 m,--,0
6.2 tỷ,"Đường 1A , Xã Vĩnh Lương, TP Nha Trang, Khánh Hòa",830 m²,40 m,12 m,--,0
4.57 tỷ,"Đường 1A, Xã Vĩnh Lương, TP Nha Trang, Khánh Hòa","1,524 m²",55 m,34 m,--,0
6.2 tỷ,"Đường 1A, Xã Vĩnh Lương, TP Nha Trang, Khánh Hòa",830 m²,40 m,12 m,--,0
830 triệu,"Đường Hải Thành, Phường Hải Thành, Quận Dương Kinh, TP Hải Phòng",41 m²,12 m,4 m,--,0
70 tỷ,"Đường đường Bến Than, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM","9,310 m²",160 m,28 m,--,0
70 tỷ,"Đường đường Bến Than, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM","9,310 m²",160 m,28 m,--,0
8 tỷ,"Đường Tân Thành, Phường Tân Thành, Quận Dương Kinh, Hải Phòng",600 m²,27 m,22 m,--,0
30 tỷ,"Đường Dương Công Khi, Phường Xuân Thới Sơn, Huyện Hóc Môn, TPHCM","10,200 m²",121 m,44 m,--,0
30 tỷ,Đường Dương Công Khi Xuân Thới Sơn,"10,200 m²",121 m,44 m,--,0
13 tỷ,"Đường 43, xã Phiêng Luông, huyện Mộc Châu, Sơn La","13,000 m²",--,--,--,0
785 triệu,"422, Xã Đức Giang, Huyện Hoài Đức, TP. Hà Nội",222 m²,--,--,--,0
5.15 tỷ,"Đường Số 3, phường 7, TP. Bến Tre, Bến Tre",190 m²,--,8 m,--,0
13 tỷ,"Đường 43, xã Phiêng Luông, Huyện Mộc Châu, Sơn La","13,000 m²",--,--,--,0
7.85 tỷ,"422, Xã Đức Giang, Huyện Hoài Đức, TP. Hà Nội",222 m²,--,--,--,0
4.8 tỷ,"Đường Quách Điêu, xã Vĩnh Lộc A, huyện Bình Chánh, TP. HCM",182 m²,36 m,5 m,--,0
8 tỷ,"Đường Quốc Lộ 14 Nhân Cơ, Đak R'Lấp, Đak Nông","24,000 m²",--,--,--,0
7 tỷ,"Đường Nguyễn Tất Thành Phước Hải, Nha Trang, Khánh Hòa",200 m²,20 m,10 m,--,0
850 triệu,"Xã Hương Mạc, Thị xã Từ Sơn, Bắc Ninh",104.30 m²,--,--,--,0
900 triệu,"Đường Đại Lộ Bình Dương Hiệp An, Thủ Dầu Một, Bình Dương","1,470 m²",100 m,14.7 m,--,0
2.7 tỷ,"Phan Đình Phùng , Phường Tây Sơn, TP. Pleiku, Gia Lai",100 m²,20 m,5 m,T.Nam,1
3.85 tỷ,"Đường Hoàng Minh Chánh, Phường Hóa An, TP. Biên Hòa, Đồng Nai",135 m²,--,--,--,0
2.8 tỷ,"Đường Sông Serepok Ea Nuôl, Buôn Đôn, ĐakLak","5,568 m²",--,--,--,0
1.25 tỷ,"Đường Hòa Nghĩa, Phường Hoà Nghĩa, Quận Dương Kinh, TP. Hải Phòng",61.50 m²,--,4.15 m,--,0
1.5 tỷ,"Đường Phạm Văn Đồng Tân Thành, Dương Kinh, Hải Phòng",110 m²,20 m,5 m,--,0
1.1 tỷ,"17 duy tân, Phường 1, TP. Bảo Lộc, Lâm Đồng",118 m²,24 m,5 m,Đ.Nam,1
2.25 tỷ,"Đường Phạm Văn Đồng, phường Hợp Đức, Quận Đồ Sơn, TP. Hải Phòng",282 m²,30 m,8 m,--,0
1.74 tỷ,"Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TP. Hồ Chí Minh",120 m²,20 m,6 m,--,0
1.79 tỷ,"Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",80 m²,--,--,--,1
900 triệu,"Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,--,1
1.8 tỷ,"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, TP. Hồ Chí Minh",100 m²,20 m,5 m,--,0
1.7 tỷ,"Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, TP. Hồ Chí Minh",90 m²,--,--,--,1
2.29 tỷ,"Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TP. Hồ Chí Minh",85 m²,--,--,--,1
1.79 tỷ,"Mặt tiền 19 tháng 5, Xã Tân Lân, Huyện Cần Đước, Long An",145 m²,33 m,4.4 m,--,1
897.6 triệu,"Lộc Tân, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,--,0
1.8 tỷ,"Xã Tân Lân, Huyện Cần Đước, Long An",145 m²,33 m,4.4 m,--,1
900 triệu,"Phường Thanh Khê Tây, Quận Thanh Khê, TP. Đà Nẵng",132 m²,22 m,5.98 m,--,1
1.8 tỷ,"Đường Hoài Châu, Xã Hoài Châu Bắc, Thị xã Hoài Nhơn, Bình Định",390 m²,--,--,--,0
1.7 tỷ,"Phường Phú Lợi, TP. Thủ Dầu Một, Bình Dương",60 m²,5 m,12 m,T.Nam,1
350 triệu,"Đường Quốc lộ 1A, Xã Tây Hòa, Huyện Trảng Bom, Đồng Nai",102 m²,--,--,--,0
1.99 tỷ,"Đường 10, Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",110 m²,22 m,5 m,--,0
265 triệu,"Đường DH506, Xã Vĩnh Hòa, huyện Phú Giáo, Bình Dương",783 m²,52 m,15 m,--,0
9.5 tỷ,"Đường Triệu Việt Vương, Phường 4, TP Đà Lạt, Lâm Đồng",291 m²,25 m,14 m,--,0
6 tỷ,"32, Xã Đức Giang, Huyện Hoài Đức, TP. Hà Nội",100 m²,--,--,--,0
700 triệu,"Đường 20 Lộc Ngãi, Bảo Lâm, Lâm Đồng",240 m²,42 m,6 m,--,0
6 tỷ,"32, Xã Đức Giang, Huyện Hoài Đức, TP. Hà Nội",100 m²,--,--,--,0
2.46 tỷ,"Đường Hồ Chí Minh, xã Phú Nghĩa, huyện Lạc Thủy, Hòa Bình",164 m²,32 m,5 m,--,0
2.5 tỷ,"Xã Sơn Thủy, Huyện Mai Châu, Hoà Bình","7,500 m²",--,--,--,1
3.02 tỷ,"Đường Hồ Chí Minh, Xã Phú Thành, Huyện Lạc Thủy, Hòa Bình",201 m²,29 m,7 m,--,0
1.2 tỷ,"Đường 18 Châu Phong, Quế Võ, Bắc Ninh",89 m²,24 m,4.66 m,--,0
2 tỷ,"Xã Xuân Nộn, Huyện Đông Anh, TP. Hà Nội",58 m²,4.3 m,13.5 m,Nam,1
1.47 tỷ,"Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP. Hồ Chí Minh",80 m²,--,--,--,1
1.5 tỷ,"Đường 18, xã Châu Phong, Huyện Quế Võ, Bắc Ninh",130 m²,21.76 m,4.6 m,--,0
2.98 tỷ,"Đường 79A, Xã Long Phước, TP. Bà Rịa, Bà Rịa - Vũng Tàu",425 m²,42 m,10 m,--,1
1.7 tỷ,"Phường IV, TP. Vị Thanh, Hậu Giang",100 m²,--,--,--,0
899 triệu,"Đường Lộc tân, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,Đông,1
1.07 tỷ,"Đường QH26, Xã Ea KNuec, Huyện Krông Pắc, Đắk Lắk",224 m²,--,--,--,0
2.25 tỷ,"Nguyễn Văn Thời, Xã Quy Đức, Huyện Bình Chánh, TP. Hồ Chí Minh",93 m²,5.5 m,16.49 m,--,1
2.2 tỷ,"Đường Trung Nghĩa, Phường Hợp Đức, Quận Đồ Sơn, TP. Hải Phòng",80 m²,--,--,--,0
16 tỷ,"Đường Nguyễn Văn Cừ, phường Gia Thụy, Quận Long Biên, TP. HN",100 m²,25 m,4 m,--,0
1 tỷ,"Đường 6, xã Tân Lập, huyện Mộc Châu, Sơn La",550 m²,--,--,--,0
4.95 tỷ,"Biệt Thự View Hồ( Dự Án Đông bắc-Bích Động), Thị trấn Bích Động, Huyện Việt Yên, Bắc Giang",180 m²,15 m,12 m,T.Bắc,1
4.3 tỷ,"Lô Nhìn Vườn Hoa, Đấu Giá Niềm Xá, Phường Kinh Bắc, TP. Bắc Ninh, Bắc Ninh",83 m²,17 m,4.5 m,T.Nam,1
8.64 tỷ,"Đối Diện Nhà Hàng Toàn Tình,Nguyễn Quyền, Phường Võ Cường, TP. Bắc Ninh, Bắc Ninh",72 m²,18 m,4 m,Đ.Nam,1
